G;A;L;V
männlich;unter 1 Jahr;Insgesamt;1387
männlich;unter 1 Jahr;Bestimmte infektiöse und parasitäre Krankheiten;13
männlich;unter 1 Jahr;Tuberkulose einschließlich ihrer Folgezustände;0
männlich;unter 1 Jahr;Meningokokkeninfektion;0
männlich;unter 1 Jahr;Virushepatitis;0
männlich;unter 1 Jahr;HIV-Krankheit;0
männlich;unter 1 Jahr;Neubildungen;6
männlich;unter 1 Jahr;Bösartige Neubildungen (BN);6
männlich;unter 1 Jahr;BN der Lippe, der Mundhöhle und des Pharynx;0
männlich;unter 1 Jahr;BN des Ösophagus;0
männlich;unter 1 Jahr;BN des Magens;0
männlich;unter 1 Jahr;BN des Dickdarms;0
männlich;unter 1 Jahr;BN des Rektums, des Anus und am Rektosigmoid;0
männlich;unter 1 Jahr;BN der Leber, der Gallenwege und des Pankreas;0
männlich;unter 1 Jahr;BN der Leber und der intrahepatischen Gallengänge;0
männlich;unter 1 Jahr;BN des Pankreas;0
männlich;unter 1 Jahr;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;0
männlich;unter 1 Jahr;BN der Bronchien und der Lunge;0
männlich;unter 1 Jahr;Melanom und sonstige bösartige Neubild. der Haut;0
männlich;unter 1 Jahr;Bösartiges Melanom der Haut;0
männlich;unter 1 Jahr;BN der Brustdrüse;0
männlich;unter 1 Jahr;BN der Genital- und Harnorgane;2
männlich;unter 1 Jahr;BN der Cervix uteri;0
männlich;unter 1 Jahr;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
männlich;unter 1 Jahr;BN des Ovars;0
männlich;unter 1 Jahr;BN der Prostata;0
männlich;unter 1 Jahr;BN der Niere, ausgenommen Nierenbecken;2
männlich;unter 1 Jahr;BN der Harnblase;0
männlich;unter 1 Jahr;BN d. lymphat., blutbild. u. verwandten Gewebes;1
männlich;unter 1 Jahr;Leukämie;1
männlich;unter 1 Jahr;Gutartige Neubildungen;0
männlich;unter 1 Jahr;Krankheiten des Blutes u. der blutbildenden Organe;8
männlich;unter 1 Jahr;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;15
männlich;unter 1 Jahr;Diabetes mellitus;0
männlich;unter 1 Jahr;Psychische und Verhaltensstörungen;1
männlich;unter 1 Jahr;Psychische und Verhaltensstörungen durch Alkohol;0
männlich;unter 1 Jahr;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;0
männlich;unter 1 Jahr;Krankheiten d. Nervensystems u. d. Sinnesorgane;22
männlich;unter 1 Jahr;Meningitis;2
männlich;unter 1 Jahr;Krankheiten des Kreislaufsystems;15
männlich;unter 1 Jahr;Hypertonie (Hochdruckkrankheit);1
männlich;unter 1 Jahr;Ischämische Herzkrankheiten;2
männlich;unter 1 Jahr;Akuter oder rezidivierender Myokardinfarkt;0
männlich;unter 1 Jahr;Sonstige Formen der Herzkrankheit;8
männlich;unter 1 Jahr;Sonstige Krankheiten des Endokards;0
männlich;unter 1 Jahr;Zerebrovaskuläre Krankheiten;0
männlich;unter 1 Jahr;Schlaganfall, nicht als Blutung oder Infarkt bez.;0
männlich;unter 1 Jahr;Krankheiten der Arterien, Arteriolen und Kapillare;1
männlich;unter 1 Jahr;Krankheiten des Atmungssystems;9
männlich;unter 1 Jahr;Grippe;1
männlich;unter 1 Jahr;Pneumonie;3
männlich;unter 1 Jahr;Chronische Krankheiten der unteren Atemwege;0
männlich;unter 1 Jahr;Asthma;0
männlich;unter 1 Jahr;Krankheiten des Verdauungssystems;9
männlich;unter 1 Jahr;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;0
männlich;unter 1 Jahr;Krankheiten der Leber;0
männlich;unter 1 Jahr;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;0
männlich;unter 1 Jahr;Krankheiten der Haut und der Unterhaut;0
männlich;unter 1 Jahr;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;1
männlich;unter 1 Jahr;Chronische Polyarthritis und Arthrose;0
männlich;unter 1 Jahr;Krankheiten des Urogenitalsystems;1
männlich;unter 1 Jahr;Krankheiten der Niere;1
männlich;unter 1 Jahr;Schwangerschaft, Geburt und Wochenbett;0
männlich;unter 1 Jahr;Best.Zustände mit Ursprung in der Perinatalperiode;768
männlich;unter 1 Jahr;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;346
männlich;unter 1 Jahr;Angeborene Fehlbildungen des Nervensystems;31
männlich;unter 1 Jahr;Angeborene Fehlbildungen des Kreislaufsystems;116
männlich;unter 1 Jahr;Symptome und abnorme klinische und Laborbefunde;155
männlich;unter 1 Jahr;Plötzlicher Kindstod;75
männlich;unter 1 Jahr;Sonst. ungenau bezeichnete u. unbek. Todesursachen;77
männlich;unter 1 Jahr;Äußere Ursachen von Morbidität und Mortalität;18
männlich;unter 1 Jahr;Unfälle einschließlich Spätfolgen;12
männlich;unter 1 Jahr;Transportmittelunfälle;3
männlich;unter 1 Jahr;Stürze;0
männlich;unter 1 Jahr;Ertrinken und Untergehen;0
männlich;unter 1 Jahr;Exposition gegenüber Rauch, Feuer und Flammen;0
männlich;unter 1 Jahr;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);2
männlich;unter 1 Jahr;Vorsätzliche Selbstbeschädigung;0
männlich;unter 1 Jahr;Tätlicher Angriff;6
männlich;unter 1 Jahr;Ereignis, dessen nähere Umstände unbestimmt sind;0
männlich;1 bis unter 15 Jahre;Insgesamt;615
männlich;1 bis unter 15 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;17
männlich;1 bis unter 15 Jahre;Tuberkulose einschließlich ihrer Folgezustände;1
männlich;1 bis unter 15 Jahre;Meningokokkeninfektion;1
männlich;1 bis unter 15 Jahre;Virushepatitis;0
männlich;1 bis unter 15 Jahre;HIV-Krankheit;0
männlich;1 bis unter 15 Jahre;Neubildungen;143
männlich;1 bis unter 15 Jahre;Bösartige Neubildungen (BN);140
männlich;1 bis unter 15 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;0
männlich;1 bis unter 15 Jahre;BN des Ösophagus;0
männlich;1 bis unter 15 Jahre;BN des Magens;0
männlich;1 bis unter 15 Jahre;BN des Dickdarms;0
männlich;1 bis unter 15 Jahre;BN des Rektums, des Anus und am Rektosigmoid;0
männlich;1 bis unter 15 Jahre;BN der Leber, der Gallenwege und des Pankreas;2
